Genero_Usuario,Edad_Usuario,Bici,Ciclo_Estacion_Retiro,Fecha_Retiro,Hora_Retiro,Ciclo_EstacionArribo,Fecha Arribo,Hora_Arribo
M,59.0,4605325,180,05/03/2024,13:51:08,078,05/03/2024,13:57:07
M,32.0,8247744,470,30/04/2024,18:35:39,264-275,30/04/2024,18:47:00
F,25.0,3458890,211,26/02/2024,19:59:08,043,26/02/2024,20:32:09
M,32.0,6222459,404,25/04/2024,10:02:09,377,25/04/2024,10:06:00
F,29.0,7849375,351,17/03/2024,11:04:43,076,17/03/2024,11:31:49
M,22.0,4027652,032,25/03/2024,16:27:28,019,25/03/2024,16:34:13
M,28.0,8054231,556,06/02/2024,10:28:16,262,06/02/2024,10:36:31
M,47.0,6374482,047,04/03/2024,17:46:23,150,04/03/2024,17:53:39
M,28.0,5971320,182,02/04/2024,08:57:33,334,02/04/2024,09:06:33
M,39.0,6300123,053,07/01/2024,11:37:18,067,07/01/2024,11:40:39
M,22.0,3601143,119,25/02/2024,14:40:46,001,25/02/2024,14:50:27
M,29.0,6199251,542,28/01/2024,14:41:49,553,28/01/2024,14:49:14
M,26.0,7974736,091,09/01/2024,21:01:08,570,09/01/2024,21:12:16
M,25.0,4329686,123,13/04/2024,21:59:37,563,13/04/2024,22:03:27
F,23.0,2772796,107-108,25/02/2024,09:50:52,449,25/02/2024,10:04:06
M,56.0,5494067,075,30/01/2024,09:41:41,055,30/01/2024,10:02:11
M,55.0,6931067,028,04/03/2024,19:15:56,271-272,04/03/2024,19:29:32
F,41.0,8121949,031,04/01/2024,17:12:06,567,04/01/2024,17:25:55
F,24.0,4106068,022,11/02/2024,14:06:29,022,11/02/2024,15:17:06
M,20.0,2993319,452,28/03/2024,09:43:27,045,28/03/2024,10:10:31
F,37.0,3393550,242,08/03/2024,13:59:50,257,08/03/2024,14:26:05
M,27.0,8354276,419,06/04/2024,09:08:19,618,06/04/2024,09:25:22
M,28.0,4899118,008,10/03/2024,16:27:02,014,10/03/2024,16:43:20
M,30.0,6887806,206,01/04/2024,13:52:54,208,01/04/2024,13:58:50
M,46.0,8285413,318,26/02/2024,10:46:42,597,26/02/2024,11:25:40
M,30.0,6690515,154,30/04/2024,08:20:55,304,30/04/2024,08:31:34
M,41.0,7765340,401,20/02/2024,13:43:36,372,20/02/2024,13:59:28
M,62.0,6845325,474,22/03/2024,13:02:09,482,22/03/2024,13:07:34
M,26.0,2058741,021,11/01/2024,17:45:26,030,11/01/2024,17:54:34
F,65.0,6144216,091,04/04/2024,17:33:28,092,04/04/2024,17:38:43
M,24.0,5217351,002,14/04/2024,12:49:09,006,14/04/2024,12:52:16
F,29.0,2473353,280,02/01/2024,14:57:29,297,02/01/2024,15:03:27
M,24.0,8866568,174,12/04/2024,19:44:32,271-272,12/04/2024,19:53:24
M,33.0,7874001,100,16/01/2024,08:56:14,040,16/01/2024,09:13:21
M,26.0,8052714,670,12/01/2024,05:56:07,416,12/01/2024,06:02:09
O,44.0,5182506,074,30/04/2024,19:07:55,414,30/04/2024,19:33:03
M,30.0,4144390,556,05/01/2024,18:00:48,171,05/01/2024,18:42:37
M,58.0,5352661,121,13/03/2024,12:31:07,033,13/03/2024,12:34:39
M,41.0,4325932,035,17/01/2024,08:20:58,032,17/01/2024,08:24:42
M,39.0,4755930,210,07/03/2024,08:22:16,215,07/03/2024,08:28:09
M,42.0,4397063,083,28/02/2024,14:44:04,250,28/02/2024,15:01:38
M,34.0,5345426,136,17/01/2024,21:16:51,069,17/01/2024,21:22:32
M,40.0,2245611,055,29/01/2024,19:30:30,107-108,29/01/2024,19:48:19
F,32.0,3400827,027,10/03/2024,17:30:03,117,10/03/2024,17:55:31
M,31.0,7692221,234,23/01/2024,09:29:15,037,23/01/2024,09:42:54
F,27.0,7693930,144,25/01/2024,15:34:35,081,25/01/2024,15:45:54
F,32.0,6111462,699,19/03/2024,11:07:23,653,19/03/2024,11:21:34
M,36.0,6538557,471,28/02/2024,14:45:57,242,28/02/2024,15:01:47
M,31.0,8361610,695,22/02/2024,19:11:22,648,22/02/2024,19:22:05
M,35.0,6146625,280,18/04/2024,09:50:15,594,18/04/2024,10:08:23
M,30.0,7503279,168,26/01/2024,18:02:31,025,26/01/2024,18:20:52
F,32.0,6243661,217,15/04/2024,14:05:33,225,15/04/2024,14:08:36
M,44.0,3223575,019,26/02/2024,20:38:38,458,26/02/2024,21:04:27
O,23.0,2461127,442,26/02/2024,21:09:02,401,26/02/2024,21:23:16
M,38.0,8004327,555,29/02/2024,07:14:35,197,29/02/2024,07:46:14
M,33.0,5366257,077,22/01/2024,21:05:43,066,22/01/2024,21:08:58
M,30.0,2919710,613,12/02/2024,18:18:03,600,12/02/2024,18:19:38
M,29.0,4083564,354,05/01/2024,09:46:13,326,05/01/2024,09:52:11
F,27.0,2800118,045,15/02/2024,13:18:38,045,15/02/2024,13:29:39
M,24.0,8321952,126,26/03/2024,14:47:03,139,26/03/2024,14:52:04
M,26.0,8268849,499,04/03/2024,18:54:56,495,04/03/2024,19:01:42
F,41.0,2839850,135,28/04/2024,14:33:08,143,28/04/2024,14:41:09
F,28.0,8734428,257,22/04/2024,19:00:44,046,22/04/2024,19:15:04
F,24.0,3697984,315,19/04/2024,16:32:14,310,19/04/2024,16:47:32
M,39.0,6647994,284,08/01/2024,13:02:49,170,08/01/2024,13:15:16
F,30.0,3591393,536,20/04/2024,16:25:21,540,20/04/2024,16:41:48
M,32.0,8165425,271-272,22/01/2024,08:51:00,007,22/01/2024,09:03:43
F,39.0,5346036,156,02/02/2024,09:39:08,031,02/02/2024,09:53:28
M,44.0,4006904,160,21/03/2024,21:24:46,027,21/03/2024,21:31:23
F,26.0,8569014,067,11/01/2024,19:19:42,049,11/01/2024,19:24:37
M,19.0,4904702,465,24/01/2024,21:37:24,273-274,24/01/2024,21:54:34
M,43.0,3584141,556,15/01/2024,11:14:47,095,15/01/2024,11:18:34
M,40.0,2038792,678,15/04/2024,13:10:52,390-391,15/04/2024,13:17:48
F,39.0,7221740,612,07/03/2024,18:50:10,292,07/03/2024,19:04:26
M,30.0,2228567,421,11/02/2024,16:59:00,362,11/02/2024,17:10:27
M,42.0,5666193,672,29/03/2024,14:42:24,660,29/03/2024,14:50:26
